,도착 시군구 코드,총 이동 시간,총 이동 인구,평균 이동 시간(분),이동인구(합)
0,11010,29797989,21031880.41,60.90370229569312,42.98677280568364
1,11020,29871978,22491167.48,59.909545985102824,45.10701073767895
2,11030,27170933,15702426.81,59.739050232286125,34.5239548443694
3,11040,27556207,18138400.81,59.49595712937834,39.162193729610216
4,11050,27336591,18876549.38,62.5209347748028,43.17215385635773
5,11060,28861672,18143542.26,61.68421052631579,38.77703552514031
6,11070,25502247,14809957.7,65.60569818892776,38.09929435068944
7,11080,28796293,20096899.66,61.96882437754202,43.24797103445308
8,11090,24756229,13182652.17,67.27492078502986,35.823787236470956
9,11100,22523029,11173779.54,69.23239529701068,34.34651360946745
10,11110,29264087,21427712.9,68.90612557246965,50.454356420489994
11,11120,25945127,17488651.91,69.47063076185708,46.827586519898574
12,11130,27282326,18112647.3,62.46883350315409,41.472854934914764
13,11140,30687734,25683914.3,62.43549788305857,52.25501423162452
14,11150,23132911,15319155.39,63.9371571030964,42.34068271205366
15,11160,30658304,24207692.63,71.18729610305779,56.20924703544004
16,11170,26695194,16271104.2,66.83974851711731,40.73978682544173
17,11180,20409944,8864186.53,67.98691556408309,29.527209930580536
18,11190,31177799,26938651.07,62.531812648042184,54.02955743284576
19,11200,26653813,17387987.32,60.40743233748986,39.40763250338823
20,11210,28074220,20121366.16,65.09647066461692,46.655968428204076
21,11220,33108517,31568695.73,65.1542380686246,62.12402437440471
22,11230,37840347,48940779.91,66.96813910273427,86.61318451464471
23,11240,34989647,37668693.82,72.89388301861635,78.47513753937434
24,11250,27616663,22933052.84,73.05879536303657,60.66848896578361
